Username,Comment
@AdjaiSookhlall-rg6du,Madrid need kroos bhai
@ajaypratapmishra8754,Flicki flacka 😂
@futureframe1985,iam still watching to laugh after 8 days lol
@basheeruddin4711,Its reported that flick programs a whole day session of offsides only per week
@dailyarchives1903,"where to watch full game highlights?
can anyone tell me????"
@mdatausif_06,Flicky flacka 😂😂😂😂😂
@dinkarthakare7612,Best and simplest analysis.
@mdkawsarraihan5495,Sunkar accha laga...as a barca fan🥲
@মুসাফির-ড১ঘ,Why did you delete this video from Facebook?
@stabgoblin,Ye joker kab chup hoga
@Jordannn_nope,"Flick ne team ka to pata nhi, har barca fan ka khada kar diya."
@Pujan_FFA,Top analysis ngl
@monojeet09,What an analysis brother.
@SLIMSHADY-be4ex,Expectro jinxem
@AbcXyz-lk6sh,"Bro i used to think u are troll, but damn, what an analysis. Please do reviews on English"
@force9714,phatawa pajamay ka naraa🤣🤣🤣
@Enchantedquillx2,Naya naya jinx sikha hai lagta bohot logo ne
@saifu7782,Jo bhi ab jinx wale comment karega unko hijade uthake le jao
@vaibhavshekhar8173,"Hansi Flick knew they were faster but not smarter. 

Even casuals think a fast player is a WORLD CLASS player but now Mbappe is getting exposed"
@thunjurizko6326,Filiki falaka😂😂😂😂
@Shubham-t8u,Tab toh bol raha thaa haryega
@vladimirputin7161,Abbe ye chilla ta kyu hai itna🙃
@Devilwillkill,Panauti bkl
@nagjidesai7363,11:15 the frustration 😂😂
@nagjidesai7363,0:58 flicki flacka😂😂🤣🤣
@troystteiner3689,we got flicki flacka before GTA 6 💀
@sparrowgaming2811,Watching the video with only 1% charge 😂
@ShivangKadiya,"Where to rewatch this game ? Anyone please 
Thank you"
@amitshah42,Flick faka 😂
@themostlyvlogs4465,Can anyone tell me where I can re-watch the whole match? In phone
@vaishnavgovekar3468,🧿
@msumonrana9670,"“Playing football is very simple, but playing simple football is the hardest thing there is.” 🗣️ Johan Cruyff"
@diptanudebnath8555,BKL phirse aa gya jinx karne🤬🤬
@anikbiswas1681,Lewa 2 miss agar nhin karta toh 6 -0 hota
@gauravkumarchaudhary3266,flicki-flacka
@abhishekthaware5321,"jokes aside , YJR ball knowledge is superb!!!!!"
@tysonnoruto,Flick regular visiting barc junior member league to get new plyers for barcelona
@abhijeet4903,Really felt kroos absence in real Madrid 😢
@abhijeet4903,Fliki Flaka💀
@ArijitDas-bl1lx,Good content after a long time !!
@C.G.007,Full game highlights keise dekhe ??
@futureframe1985,Mabappe offside in sweden and vini offaide for ballondor
@iphobee1891,"Hala Madrid ❌
Gela Madrid ✅"
@rahibasadd2809,Toh tu coach karle Real ko . Bskhika
@ShishumoniSaren,Fliki Falka😂😂😂😂
@pavitrapaul5428,Bhai tu aise hi content nikala kar regularly. PL games ka bhi breakdown kar. Just abhi dack bhi hua Ten Hag. Usspe bhi kuch daal... He had the second highest win percebtage at Man Utd post Sir Alex...
@deadeyegamer3020,"Bro really break down the Barca tactics really well, but his comments section is filled with people who only watch highlights and memes"
@Edenhazard1417,Maan le phel gye hoo reason Dene ki koi jarurat nahi hai 😂😂😂
@Saugat-B,Flickii Flackaa... what a term. Haha.
@Cristiano123-r8k,Real madrid will beat Barcelona 😂
@Khuzamovic,"""Gorey jawan spanish chotey larkey MUI MUI sey"" 😂😂😂😂😂😂😂😂😂😂"
@DebmalyaGhatak,"Haaland 15 offside entire premier league 
Mbappé 8 in one gams 🗿💀☠️..11 total offside of real madrid ...😂🤣
11-1 (offside) 😂"
@mainaksarkar7704,Bro watched mbappe 16times offside
@DebmalyaGhatak,Flick ne carlo ki dhatichya ura di 😂😂😂
@chandravikramsingh633,My man called 33 year old inigo martinez - balak
@yuddhveersingh392,final me 3 goal isliye gye coz bkc 2 penalty the. Stop gassing him L signing.
@TageKojing,Who are you??🙄
@gopa_shortsandvideos,"With brain 🧠 u can stop any team any bbc any power right,that's messi always do in field ,,messi have brain + the  simple the basic inside out and la Pausa,ultimate close control,,and this ghatia mappe have only pace  with time it's blown away ,mbapoe have no brain also,,vini is miles ahead than mbappe,,"
@ameenurrahmankhan6933,😂😂😂😂😂flicky flakha
@robertoppenheimer2116,Who is going to win Ballon d'or?
@spinabbus7059,Chotu its just a game against a small team. No need to over react😅
@jasonzx1858,And bro was confidently saying that Jude will score 😂
@yasirhussainkhan6518,flicki-flaka🤣🤣🤣
@adityadhangade6559,Where do you get to see full matches again ?
@Right_Nows,Tatti 💩 tu joh aabhi vi ro raha hajn 😂
@bheemeshy1805,A pure tactical breakdown. Nice
@ahmadmalik1906,0:59 flicky flaka 😂😂😂
@DeepakBohare-pr4wy,Bhai ruko jara sabar karo real madrid 8 goals bhi khayegi 😂
@DeepakBohare-pr4wy,नगद 😂
@fg-qp4in,Kaha pe dekha full highlights bruh.......?
@akashsaha739,"Barcelona pe video bana na band karde bharve, please 😭"
@Sandeep-yf2wq,Yjr views❌  Barcelona ke bahane views✅
@Zakir_Hus,Started watching you because of these analysis type videos. More of these please
@howwasthat3505,Best analysis
@ASHISHofficial777,Yamal top class goal 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
@divyanshjain5173,Bhai bhaut hai jinx jinx kuch or bhi comment karlo 🙏
@arunabhanath5125,"Bro making 2nd video on Barca v Real, this humiliation is very tough to digest for these chutiyas"
@anuzmaharjan7236,No one talking women's saff championship 🏆
@SIA-mj9ry,Joker🤡😂
@yavuzcayir4227,Speak English nigesh I don’t understand
@ALexAngom20,0:58 Flicki-Flaka
@omkargogawale9369,Bc me football dekhtaa bhi nhi .. but ye video dekh ke maza aya😂
@abinashdash5787,How to saw the full match again ?
@lonerecords_,Most satisfying video……….
@MantickKonyak-dd9uo,No matter what ill always support hala Madrid
@sames499,"Yash Bhai for me barca win the match before the game even started. Even if Madrid win it doesnot bother barca. Before the match everyone tells you how to stop barca form scoring the goal as in every match they score 4+ goals so how we stop them. Carlo also tells that you will see my plan of beating barca, you guys are playing home and still you are afraid and make a plan how to stop barca rather than how we score and what is our strength. They have to adopt to stop us rather that real has to adopt to stop them. In xavi era there was always a talk about how we stop vinicius and bla bla bla ... That's why they lost  now real are doing same as they afraid of barca. Barca won match before it was started."
@jiaulrahaman7283,sasta salman khan😂
@quadro1337,Lewa showed mercy to madritistas
@pesisawesome5864,Bro vini not vining balondor why ??
@dhruvpal1108,Rodriiiiii
@Azharali-of5oi,Do not blame mbappe for being offside the defence is tricky here
@subhranil5333,
@joshuabk9847,"anyone hear, that chote moyi moyi😂"
@deepbera9001,Anti jinx🧿
@cyan3047,Dream Match of the season : Pep's MAN CITY vs Flick's BARCELONA 🥶🥵💥
@rokeshmaharjan3791,That's why vini did not win balon dor.
@782_md.mojammelhossain7,"Here he came Again 
Doing as his usual jinxing barca"
@arjeetgourav3364,Mbappe will be flopped this season.
@jerrypoops71,"yash saying mbappe got an hat-trick in WC22 final. (but two of them was penalty for handball.) What are you expecting from him? When PSG was 1 goal behind from a win or making a at least draw, he couldn’t even save PSG for a single time when he still got 10 to 15 minutes."
@adi_10_7,6:36😂😂
@subhadeepganguly9411,"Whatever people's opinions, none can deny that this guy knows the games. Not your average joe."
@DjangoChainedinCandyland,Vini Jr will not win balon d or
@selwynbtw,bro still tryna jinx 😂
@Atrayooo,"Akash chopra of football, yash bhai is back and mbappe abhi bhi offside hain 🥰❤️"
@shikhardahal1568,Tiki Taka ❌ Flicky Flaka ✅
@spandanbhattacharyya2286,I've  1 question. When will Barcelona get tired? Because this system is very demanding
@Ghost_4,"VINI NHI JEET RHA BALLON D’or 

I N J E C T"
@putinbhaijaan135,"As if you play on the ground very well....
Talking and Practicality is different thing my dear bache....
You can't even a kick a ball and judging world class players 😂😂
It includes Divyansh ,mohak bhai as well 😂😂"
@rohanshrestha714,"Bro please review the match of India va nepal SAFF womens championship 
I promise it was more dramatic then this el clasico"
@mks4251,Anti jinx button 🔘
@ryankelly2624,FLICKI-FLAKA
@sobikmangrati,Carlo ne Kya kaha flick ko
@gameknocks2913,Toni Kroos 💔💔💔💔💔
@ryankelly2624,Tere hi intezaar mein the Yash bhai
@adityasanga8585,Mat kr bhai barca ki tarif
@NoobieAbhinav,I appreciate your willingness to watch the game once again for analysis. I wouldn't even be ready to watch the highlights of it lmao.
@amlanchinya1370,Main reason ki to baat hi nahi kiya?? Tera Prediction😂
@night8crawler,Madrid need a brain and game controller like kroos Ancelotti not a much of tactical feels like kroos was the secret manager by whole time
@shahanwakil2607,Upload analysis video more often
@DiwasBishwakarma,How to watch rematch full game?
@mdakhtarkhan4737,This much planning!!. Bro Flick might not have thought even these much 😛😝
@nightz_9gamerz160,"🕯
🕯                                                             🕯                                           
                    🕯       exorcism               🕯
                                    🕯   

for unjinxing against barça
the exorcism of YJR's jinxing"
@the1650guy,Bro is milking barcelona for content and views like crazy
@Antor_03,1:40 mui mui se 😂😂
@swarajgupta8646,"Flicky flacka??
Worst name ever heard"
@swarajgupta8646,"Flicky flacka??
Worst name ever heard"
@swarajgupta8646,"Flicky flacka??
Worst name ever heard"
@swarajgupta8646,"Flicky flacka??
Worst name ever heard"
@laviyadav9195,bas kar bhai yash ab kya agale el classico tk vdo bnayega iss baare mai
@spectre1859,Anti jinx comment
@rsen507,0:16 Mbappe predicting how Rapha is about to chip his goalie 😂
@swL1941,Mbappe is not the same Mbappe after the WC
@sifatshamed9578,Vhai japan ka world cup match dekhlo.
@santoshgyawali1188,Bro think he is more tactical than Don Anciloti
@kapilmeshram7447,"Really at this point we as Madrid fanbase are not interested in entertaining the critics and being a cry baby about what happened.
What we really hope for is a redemption arc back to the top...
Because we're Madrid and that's what we do the best..."
@MuhammadAmir-gb9gp,Madrid came with a master plan and that was a GHANTA PLAN 😂
@for-the-growth,flicky fucka  0:56
@sadiquehassan6,Bro watched the game twice and saw Mbappe offside 16 times :D
@Suprithunder,Aur! Kholke rakha tha pant??
@raktimmazumdar5794,So we can do one thing. Play 4-3-3 with Jude in the attack and Camavinga in mid.. They know how to press well.. When opponent has the ball Jude and Cama can press their defenders and mid fielders. Any thoughts ?
@sahang33,Tune kabhi football khela hai?🤧😂😂
@SureshBudhathoki-g9x,😂😂😂😂jali
@tushkii628,Bhai abhi bhi trauma mai hai 😂
@fcb_Naskar_10,"Never score first against real Madrid
Le badshah: kuchh logo ka comeback nahi ho Raha...😂😂😂"
@NeYoo69,1:15 flicky faka nhi Flicky Fucker🤣🤣☺️
@gerembrahma,BBC defender ko Mui mui Defender Ne Moye Moye Krdiye😂
@godtushar6954,Ten hag sacked . End of an era .😢❤
@footballshorts4436,"Bhai replay kaha pr dekha 
Jara hame bhi bata do"
@Lucky-ui3zs,Cu cu cubarasi😂😂😂😂
@whatsinthename7036,"Guys Jinx winx to thik hai 
But ye maanna padega ki Yash has very deep knowledge of football..He is literally one of the top current football nerds in India 👏👏"
@doribaljr,Flicki Flacka😂😂😂
@simranjit6226,"You can only beat a tactic with a better tactics, so basically we need a better tactics coach"
@ashabrakin,Flicki Flaka!nice
@sidharthadash,Bro chose double disappointment
@starboy10z,This guy says a lot without giving saying anything. Become apple employee or politician
@bijenchaudhary134,Barca cracked the code for winning the laliga this season
@mortuzasowrove9320,Bro is at height of frustration
@beastgaming6528,9:40 factsssss
@Aniii_23,Bro is traumatised
@Manubsp123,The only thing which is seen from space rather than The Great Wall Of China is MBAPPE BEING OFFSIDE😂
@deploy_leroy,Mbappé highlights me bhi offside hai 😔
@devanshutomar8889,Simple thing Is club needs to change manager as soon as possible ❤
@rutwikpradhan2385,Anti-jinx button 🧿🧿🧿
@SWAN....177,Yash ki Tel Chatai nikal chuki hai mere dosto
@anirban6871,Bro forgot about FDJ 🦍
@Sam_IIT_KGP,"10:05  at that time, I really made a conclusion that Yash gave deep throat to mbappe.."
@lucidboy9436,Thqs
@sportscricket5073,Anti jinx button 🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🪬🪬🪬🪬🪬🪬🪬🪬🪬🪬
@shreyam.r,its okay bhai tu to serious ho gya
@Ashu-qp4up,0:08 Bhai I also loved Mbappe's performance in world cup. But usko 2 penalties lagi in the final to score a hattrick. 1 pen and 2 non pen goals maarta to mein hattrick ko accha maanta. But Mbappe's 2 pen hattrick ko log overhype kar rhe h.
@Viral-dv4sbl,Chup kar
@satikantabanerjee7844,I watched cubarsi trapping mbappe offside intentionally when the first time mbapoe scored
@sagarranjan4585,"The last time Mbappe had only 8 goals at club level by the end of October, was in 2017."
@veddeokar5258,Manchester derby a bigger game bro
@neytime69,"We still believe on ancelotti......he will definitely came up with a solution for it,🙏."
@Kanbajbvuavghaig,Bhai ye full match konsi site se dekha isne?
@hassanmahmud4788,Real Madrid fans crying 😭😂
@sshady_fps1357,What is fliki flaka 😭😭
@mark12-b1d,Galactico 4 - 0 😂😂😂
@subashchettri260,Sorry....its not 8 times....bro its 12 times offside..😂😂And wt about your previous preview video (barca vs Bayern )  lol😂😂😀...Plz...delete it...
@NXDProductions,Jokes aside but Yash is one of the few Indian Football youtubers with such a deep understanding of the game l!
@miscellaneouselectron,Nice try diddy
@tojir66,No one talk about arsenal and liverpool
@captaindelta43,"Revenge time is here 😂
What a week for barca"
@nikhilraj9174,"La liga is considered less direct and slow as compared to Premier league, but just compare Barca vs Madrid and Liverpool vs Arsenal. Flick has brought the German way to la liga."
@ababsiddiq304,Phata hua pajama ka nada   xD
@shibaichatterjee8101,"Anti jinx button 🍀
Touch wood button 🪵"
@mahirrahman581,Cry more bkl
@arxnv_,Mbappe ko left back bana do
@i_fell_for_ballkicker5056,🧿🧿🧿
@itsrexgod7208,Flicky flacka😂😂
@pseudomorphine5736,Anti Jinx button pressed
@soumnag7388,Great analysis Yash though some stats were inaccurate
@LuckySingh-jd5hz,6:38 & 7:22 even as a Madridista I couldn't hold my laugh 🤣🤣🤣
@stdynlg1805,bhai video banade ki Madrid kya kr skti hai ye sab theek krne k liye
@anasmirza-,Bro trying hard to jinx barcelona 😭
@FaheemShah-cq6de,Bhot bolta ha tu yjr
@Arjun-w4n,"Jhon cryuff once said
No bag of money can score a goal 😂😂
Ronaldinho 🪄
Messi🐐👽
Yamal✨
Proved his statement 
To every galactico there was Ronaldinho there was messi and now its lamine yamal✨
Messi and Ronaldinho made Bernabeu cried everytime and mow it's lamines turn🔥☠️✨"
@LuckySingh-jd5hz,"6:14 absolutely correct bro. Ye bsdka Mendy jab box me cross dalna ho to vini ko pass karega, kross ko camavinga ko back pass marega"
@imro4516,Phirse bhai maaf krde humko plz maat kar 😭🙏🏻🧿
@itsyourritam,Bro watched twice and waited for a comeback 😂😂😂
@stdynlg1805,Bhai Yash to Madrid Barca se Inspiration nhi le sakte kya
@hritiksingh9873,"Bro really said ""Flicki Flacka"""
@GLOBALGAMING10,Flicki flaka ball 😂
@bratinlo,Bro getting views more than his subscribers...so why he had to make another one for views 😅😅
@earthmos22,Bro is still recovering 😢
@charsalan47,"""flicky flacka"""
@Mr.kesyoh,Tu toh real madrid kah fan hai kiu tariff karraha hai barca ka 😂😂🤣
@versuspoint483,Yeh umar akmal ka bot sabko reply de rha hai😂
@newthings2157,Anti jinx button guys.......
@SubhanGrg-m2s,Flicki flaka 😂
@amdpc8491,Lesss gooo
@NurAlam-b2g,Real madrid ka maa chod diya
@musajagrala,Today is Monday m.bappe still offside
@krishnanshuvirang10,Leave mbappe but where is ballon d'or winner vini what a rainbow😂💀
@naimbasha302,how to watch the game again ?
@Nowa_59,🧿
@cricketkedewane8362,"Kyu nhi ho rha comeback 😂😂
Santiago pr toh comeback kings thy na bhai tum 😂"
@TheStephenShelby,🚨 BREAKING: According to reports Kylian Mbappe is still OFFSIDE ✅
@indrajitdutta1677,Bring zidane back 🔙
@cricketkedewane8362,Gavi's gesture to cry baby was the best moment 😂😂
@sunilrahul6208,And that is flickball for you yash😉
@vishesh2411,Flicky Flacka🗿
@Pappupahadi69,permanent this tere naam hairstyle
@iftekharparvez130,Phata hua pajame ja nada🤣
@cricketkedewane8362,Lewa bhai 2 open goal aur maar diye hote toh 6-0 ho jata yr 😢😂😂😂😢
@cricketkedewane8362,No penalty no party 😢😢😢😢😢
@shaheerkhan2514,"Flicki - Flacka
- YJR, 2024"
@mayankkumartiwari2052,"Bhai ek baat btaye, agr Mbappe real me hug bhi dega ground pe tb bhi tm logo ko wo phool hi lgega, Mbappe ko blame thode kr skte hn bhai, sidhi si baat h hme jarurat nhi thi uski, uske bina system accha tha bt ab jhelo bhai"
@MahesOedai-t4p,Bro come's with ficky flaka 😅😂🤣
@ShahabuddinShihab10,"Bro is not gonna made a single video about Real Madrid anymore 😅
Views Views Views"
@fahimmurshed3323,Barcelona will pay for this!
@kehndihundisi9965,Today is Monday nd Mpaypal is still offside 😹😹
@utkrishtsneh8298,Bro is still traumatised
@bdgshsb,Flicky Flaka
@SanuKarki-t7j,😂😂😂
@mapleleeph,Bhai kitna hii jinx kr lega😭😭
@kushallamsal2540,best website to watch full matches again??
@aaruksh-t1i,imagine when araujo will come back
@yusuf_mondal-28,Tu banja fir coach Madrid k
@abhishekrai500,God please make hansi flick Vs pep guardiola in the champions league
